1,-43752
2,-37935.8
3,-32528.3
4,-27505.7
5,-22846.6
6,-18529.8
7,-14535.2
8,-10842.9
9,-7434.66
10,-4292.91
11,-1399.98
12,1259.77
13,3702.22
14,5942.19
15,7993.75
16,9870.47
17,11585.1
18,13149.9
19,14576.4
20,15875.7
21,17058
22,18133.4
23,19111.1
24,20000
25,20808.3
26,21543.8
27,22213.9
28,22825.4
29,23384.8
30,23898.2
31,24371.1
32,24808.7
33,25216
34,25597.4
35,25957.1
36,26298.8
37,26626.2
38,26942.3
39,27250.1
40,27552.2
41,27851
42,28148.7
43,28447
44,28747.7
45,29052.2
46,29361.7
47,29677.4
48,30000
49,30330.3
50,30669
51,31016.2
52,31372.5
53,31737.8
54,32112.3
55,32495.8
56,32888.3
57,33289.4
58,33698.8
59,34116.2
60,34541
61,34972.8
62,35410.9
63,35854.9
64,36303.9
65,36757.5
66,37214.8
67,37675.3
68,38138.2
69,38602.8
70,39068.4
71,39534.3
72,40000
73,40464.7
74,40927.8
75,41388.7
76,41846.9
77,42301.9
78,42753.1
79,43200.2
80,43642.7
81,44080.4
82,44512.8
83,44939.9
84,45361.3
85,45777.1
86,46187.1
87,46591.3
88,46989.8
89,47382.7
90,47770.2
91,48152.6
92,48530.1
93,48903.2
94,49272.2
95,49637.6
96,50000
97,50360
98,50718.3
99,51075.5
100,51432.5
101,51790
102,52148.9
103,52510.1
104,52874.6
105,53243.2
106,53617.1
107,53997.3
108,54384.8
109,54780.6
110,55186
111,55601.9
112,56029.6
113,56470
114,56924.3
115,57393.5
116,57878.8
117,58381.1
118,58901.5
119,59440.8
120,60000
121,60579.9
122,61181.4
123,61805.1
124,62451.6
125,63121.5
126,63815.2
127,64533
128,65275.1
129,66041.7
130,66832.5
131,67647.5
132,68486.3
133,69348.3
134,70232.8
135,71138.8
136,72065.2
137,73010.8
138,73973.8
139,74952.6
140,75945
141,76948.7
142,77961.1
143,78979.3
144,80000
145,81019.7
146,82034.6
147,83040.3
148,84032.4
149,85005.7
150,85955
151,86874.5
152,87758
153,88598.7
154,89389.6
155,90123
156,90791
157,91384.8
158,91895.5
159,92313.1
160,92627.6
161,92828.2
162,92903.3
163,92840.9
164,92628.5
165,92252.5
166,91699
167,90953.3
168,90000
